Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
..Março/2005,113142,110357,10455,154,122,1213,123,130,1191,277,255,2549,223,1735,574,26063,8057,6369,3552,7582,203834,5193,25437380,23990694,662728,1015888,164839,549206,440673,574206,451711,322497,120412,1386997,1285611,1192557,37801,1484953,1385809,1226507,79755,191384,141324,175377,2102985,1279175,6229729,5715284,20804,19101,32270,30751
..Abril/2005,117104,114186,11627,186,107,1279,131,147,1076,317,262,2367,269,1734,411,26792,11920,5261,3444,7892,212641,5172,25953784,24273229,664829,622441,165832,551163,443410,576509,471362,337444,125136,1397076,1303176,1209013,38673,1497051,1402204,1242543,80201,179553,132330,205512,1397794,1306632,6390197,5858562,21155,19358,32874,31543
..Maio/2005,119670,117088,10967,204,160,1363,122,174,1153,326,341,2534,262,1721,834,27897,13560,5087,3350,7833,212233,4801,25904656,24557918,658225,614984,164392,546674,439977,571958,491187,350786,131453,1411207,1316853,1219620,38368,1506192,1412222,1251765,80374,172210,126761,231128,1414524,1322559,6617234,5951485,21424,19328,32442,31038
..Junho/2005,117126,114221,10651,207,136,1260,103,151,1051,308,286,2321,213,1642,434,28162,13826,4769,3440,7762,208667,5223,25929503,24662853,628031,604289,156842,537617,436317,563983,507270,360716,137359,1428210,1355253,1234769,37661,1517427,1444687,1263745,77631,155764,113128,231994,1541575,1342923,6555625,6036366,21335,19516,32802,31320
..Julho/2005,113003,110195,10208,155,143,1180,97,169,1169,250,312,2361,252,1639,419,29414,345697,4725,3351,7740,204837,4994,26467865,24674357,618720,595243,154640,530987,431307,553909,506109,356232,139839,1423788,1340845,1225860,35297,1504699,1424964,1248456,74323,143305,103044,223893,1766742,1336584,6699806,6152508,21741,20271,32810,31483
..Agosto/2005,116992,114213,11348,174,85,1222,264,157,1266,436,243,2762,233,1730,434,29934,10576,7300,3567,8273,216846,5559,26728268,24751519,629336,604904,155415,543237,442092,564353,509272,358615,141236,1446534,1378919,1255947,34228,1528356,1458132,1277952,71531,153514,112850,205198,1595430,1363087,6881270,6180297,22283,20378,33442,32240
..Setembro/2005,117842,115104,10695,198,113,1135,121,142,1097,319,253,2243,278,1814,436,27895,9220,7925,3655,8579,214035,5385,26503111,25117897,636215,610966,156663,550104,449571,569390,508432,361499,137867,1464048,1393730,1268315,33680,1541460,1472700,1283590,71281,157699,115801,194257,1624290,1386842,6861147,6280096,22301,20286,33599,32228
..Outubro/2005,114761,112172,10565,579,197,1106,92,104,1084,350,279,2174,251,1910,363,27938,341855,6693,3569,8816,259660,5268,27104694,25269157,641683,621660,157415,555763,458449,579507,503309,358825,135241,1479010,1400680,1282314,33727,1553166,1478831,1295001,71296,155113,113984,183044,1521066,1413555,6999244,6403746,22253,21005,34122,32834
..Novembro/2005,109477,107089,10623,159,86,1248,197,269,941,356,351,2438,238,1739,464,27130,7848,5534,3512,8184,205198,5005,26278612,25316080,645320,624785,158195,557881,463232,582359,493348,351808,132472,1476867,1400658,1282925,32921,1547820,1470948,1292762,69990,150842,109204,172865,1769704,1423891,7740783,6479351,21906,20291,44086,32511
..Dezembro/2005,93209,90838,9035,164,83,1011,73,100,863,237,189,1880,203,1576,369,24157,6073,4491,3389,7242,178172,4495,25832663,25353715,638701,620466,156426,551589,461228,581084,476575,340301,127480,1469586,1398130,1271782,31445,1547779,1474733,1287486,67803,145143,105993,157979,1576619,1426256,7065021,6467714,22137,20500,33948,32541
